,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
48528,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-06,-37.0,-14.0,23.0,-59.0,-55.0,20.0
48529,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-07,-38.0,-9.0,39.0,-58.0,-55.0,21.0
48530,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-08,-39.0,-12.0,33.0,-58.0,-53.0,21.0
48531,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-09,-38.0,-10.0,38.0,-60.0,-54.0,21.0
48532,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-10,-41.0,-11.0,26.0,-59.0,-50.0,20.0
48533,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-11,-45.0,-12.0,28.0,-49.0,-17.0,10.0
48534,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-12,-43.0,-15.0,35.0,-47.0,-19.0,8.0
48535,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-13,-38.0,-15.0,22.0,-60.0,-54.0,20.0
48536,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-14,-39.0,-11.0,34.0,-60.0,-54.0,21.0
48537,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-15,-39.0,-13.0,30.0,-61.0,-53.0,21.0
48538,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-16,-39.0,-12.0,34.0,-62.0,-54.0,21.0
48539,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-17,-41.0,-11.0,28.0,-60.0,-50.0,20.0
48540,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-18,-45.0,-13.0,30.0,-50.0,-17.0,10.0
48541,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-19,-43.0,-17.0,32.0,-49.0,-18.0,8.0
48542,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-20,-38.0,-17.0,22.0,-61.0,-54.0,20.0
48543,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-21,-39.0,-12.0,32.0,-61.0,-54.0,21.0
48544,US,United States,California,Alameda County,,,6001.0,ChIJWRd5NDfyj4ARc30TGxHHxmg,2020-07-22,-39.0,-14.0,32.0,-61.0,-53.0,21.0
